episode_id,environment_type,start_location,initial_dirt_A,initial_dirt_B,sensor_noise_flag,recontamination_probability,initial_energy,max_steps,steps_taken,dirt_cleaned,move_actions,suck_actions,unnecessary_suck_actions,final_dirt_count,remaining_energy,performance_score,success,dirt_removed_rate,action_efficiency,unnecessary_action_rate,rational_episode
28,Stochastic,B,0,0,0,0.12,10,7,3,1,2,1,0,0,6,9.0,1,1.0,0.3333,0.0,1
29,Dirty,B,1,1,0,0.03,13,12,3,2,1,2,0,0,8,19.5,1,1.0,0.6667,0.0,1
30,Clean,A,0,0,0,0.005,13,12,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
31,Dirty,B,0,1,0,0.03,17,12,2,1,1,1,0,0,14,9.5,1,1.0,0.5,0.0,1
32,Stochastic,B,0,1,0,0.12,20,9,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
33,Clean,B,0,0,0,0.005,10,8,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
34,Stochastic,A,0,1,0,0.12,16,11,2,1,1,1,0,0,13,9.5,1,1.0,0.5,0.0,1
35,Stochastic,B,1,0,0,0.12,20,4,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
36,Dirty,A,1,1,0,0.03,16,9,5,3,2,3,0,0,8,29.0,1,1.0,0.6,0.0,1
37,Clean,B,0,1,0,0.005,16,12,2,1,1,1,0,0,13,9.5,1,1.0,0.5,0.0,1
38,Dirty,B,0,0,0,0.03,12,7,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
39,Stochastic,A,0,1,1,0.12,11,8,2,1,1,1,0,0,8,9.5,1,1.0,0.5,0.0,1
40,Stochastic,A,1,1,0,0.12,9,5,5,3,2,3,0,0,1,29.0,1,1.0,0.6,0.0,1
41,Dirty,B,1,1,0,0.03,15,11,3,2,1,2,0,0,10,19.5,1,1.0,0.6667,0.0,1
42,Clean,A,0,0,0,0.005,14,10,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
43,Clean,A,1,0,0,0.005,11,5,2,1,1,1,0,0,8,9.5,1,1.0,0.5,0.0,1
44,Clean,A,0,0,0,0.005,17,9,2,0,2,0,0,0,15,-1.0,1,1.0,0.0,0.0,1
45,Stochastic,A,1,1,0,0.12,17,11,4,3,1,3,0,0,10,29.5,1,1.0,0.75,0.0,1
46,Stochastic,A,1,0,0,0.12,18,10,3,2,1,2,0,0,13,19.5,1,1.0,0.6667,0.0,1
47,Dirty,B,0,1,0,0.03,17,6,2,1,1,1,0,0,14,9.5,1,1.0,0.5,0.0,1
48,Dirty,A,1,1,0,0.03,9,9,3,2,1,2,0,0,4,19.5,1,1.0,0.6667,0.0,1
49,Clean,B,0,0,0,0.005,14,6,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
50,Clean,A,0,0,0,0.005,13,7,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
51,Stochastic,B,1,0,0,0.12,8,8,3,2,1,2,0,0,3,19.5,1,1.0,0.6667,0.0,1
52,Clean,A,0,0,0,0.005,20,11,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
53,Dirty,B,1,1,0,0.03,11,6,3,2,1,2,0,0,6,19.5,1,1.0,0.6667,0.0,1
54,Stochastic,A,1,0,0,0.12,10,11,2,1,1,1,0,0,7,9.5,1,1.0,0.5,0.0,1
55,Dirty,B,1,1,0,0.03,19,7,3,2,1,2,0,0,14,19.5,1,1.0,0.6667,0.0,1
56,Clean,A,0,0,0,0.005,19,8,2,0,2,0,0,0,17,-1.0,1,1.0,0.0,0.0,1
57,Stochastic,A,0,0,0,0.12,12,5,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
58,Clean,B,0,0,0,0.005,16,8,2,0,2,0,0,0,14,-1.0,1,1.0,0.0,0.0,1
59,Clean,B,0,0,0,0.005,11,10,2,0,2,0,0,0,9,-1.0,1,1.0,0.0,0.0,1
60,Clean,A,0,0,0,0.005,8,11,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
61,Clean,B,0,0,0,0.005,14,11,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
62,Stochastic,A,1,0,0,0.12,12,8,2,1,1,1,0,0,9,9.5,1,1.0,0.5,0.0,1
63,Stochastic,A,1,0,0,0.12,19,12,2,1,1,1,0,0,16,9.5,1,1.0,0.5,0.0,1
64,Clean,A,0,0,0,0.005,11,8,2,0,2,0,0,0,9,-1.0,1,1.0,0.0,0.0,1
65,Stochastic,B,1,1,0,0.12,20,9,5,3,2,3,0,0,12,29.0,1,1.0,0.6,0.0,1
66,Stochastic,A,0,1,0,0.12,18,5,4,2,2,2,0,0,12,19.0,1,1.0,0.5,0.0,1
67,Dirty,B,1,1,0,0.03,16,5,3,2,1,2,0,0,11,19.5,1,1.0,0.6667,0.0,1
68,Stochastic,B,0,1,0,0.12,10,12,2,1,1,1,0,0,7,9.5,1,1.0,0.5,0.0,1
69,Clean,A,0,0,0,0.005,20,11,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
70,Stochastic,A,0,1,0,0.12,15,12,2,1,1,1,0,0,12,9.5,1,1.0,0.5,0.0,1
71,Dirty,B,1,0,0,0.03,11,8,2,1,1,1,0,0,8,9.5,1,1.0,0.5,0.0,1
72,Dirty,A,1,0,0,0.03,20,6,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
73,Dirty,A,1,1,0,0.03,11,8,3,2,1,2,0,0,6,19.5,1,1.0,0.6667,0.0,1
74,Stochastic,A,0,1,0,0.12,8,6,6,3,3,3,0,0,-1,28.5,1,1.0,0.5,0.0,0
75,Dirty,B,1,1,0,0.03,14,11,3,2,1,2,0,0,9,19.5,1,1.0,0.6667,0.0,1
76,Clean,B,0,0,0,0.005,18,11,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
77,Stochastic,A,0,0,0,0.12,13,9,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
78,Dirty,B,0,1,0,0.03,9,7,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
79,Stochastic,A,0,0,0,0.12,20,9,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
80,Dirty,A,1,1,0,0.03,15,12,3,2,1,2,0,0,10,19.5,1,1.0,0.6667,0.0,1
81,Clean,B,0,0,0,0.005,13,10,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
82,Dirty,A,0,1,0,0.03,8,11,2,1,1,1,0,0,5,9.5,1,1.0,0.5,0.0,1
83,Dirty,A,1,1,0,0.03,10,10,3,2,1,2,0,0,5,19.5,1,1.0,0.6667,0.0,1
84,Clean,A,0,0,0,0.005,11,4,2,0,2,0,0,0,9,-1.0,1,1.0,0.0,0.0,1
85,Stochastic,A,0,1,0,0.12,12,8,2,1,1,1,0,0,9,9.5,1,1.0,0.5,0.0,1
86,Stochastic,A,0,0,0,0.12,9,8,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
87,Clean,A,0,0,0,0.005,18,5,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
88,Stochastic,A,0,1,0,0.12,9,7,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
89,Stochastic,B,0,1,0,0.12,15,5,3,2,1,2,0,0,10,19.5,1,1.0,0.6667,0.0,1
90,Stochastic,A,0,0,0,0.12,10,11,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
91,Clean,B,0,0,0,0.005,18,4,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
92,Clean,B,0,0,0,0.005,18,8,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
93,Dirty,B,1,0,0,0.03,18,11,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
94,Dirty,B,1,1,0,0.03,19,7,3,2,1,2,0,0,14,19.5,1,1.0,0.6667,0.0,1
95,Stochastic,B,1,0,0,0.12,16,5,2,1,1,1,0,0,13,9.5,1,1.0,0.5,0.0,1
96,Stochastic,B,0,0,0,0.12,10,7,3,1,2,1,0,0,6,9.0,1,1.0,0.3333,0.0,1
97,Clean,B,0,0,0,0.005,18,10,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
98,Dirty,B,1,0,0,0.03,17,10,2,1,1,1,0,0,14,9.5,1,1.0,0.5,0.0,1
99,Stochastic,B,0,0,0,0.12,10,5,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
100,Clean,A,0,0,0,0.005,15,10,2,0,2,0,0,0,13,-1.0,1,1.0,0.0,0.0,1
101,Dirty,A,0,1,0,0.03,18,9,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
102,Dirty,A,1,1,0,0.03,11,12,3,2,1,2,0,0,6,19.5,1,1.0,0.6667,0.0,1
103,Dirty,A,1,1,0,0.03,13,5,5,3,2,3,0,0,5,29.0,1,1.0,0.6,0.0,1
104,Stochastic,B,0,0,1,0.12,17,5,2,0,1,1,1,0,14,-2.5,1,1.0,0.0,1.0,0
105,Clean,A,0,1,0,0.005,13,10,2,1,1,1,0,0,10,9.5,1,1.0,0.5,0.0,1
106,Stochastic,B,0,1,0,0.12,19,9,2,1,1,1,0,0,16,9.5,1,1.0,0.5,0.0,1
107,Stochastic,A,1,0,0,0.12,9,11,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
108,Stochastic,A,1,0,0,0.12,17,6,2,1,1,1,0,0,14,9.5,1,1.0,0.5,0.0,1
109,Clean,B,0,0,0,0.005,15,5,2,0,2,0,0,0,13,-1.0,1,1.0,0.0,0.0,1
110,Dirty,A,1,1,0,0.03,10,7,3,2,1,2,0,0,5,19.5,1,1.0,0.6667,0.0,1
111,Dirty,B,1,1,0,0.03,20,12,3,2,1,2,0,0,15,19.5,1,1.0,0.6667,0.0,1
112,Dirty,A,1,0,0,0.03,9,11,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
113,Clean,A,0,0,0,0.005,12,9,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
114,Stochastic,B,1,0,0,0.12,10,9,4,2,2,2,0,0,4,19.0,1,1.0,0.5,0.0,1
115,Stochastic,A,1,1,0,0.12,8,11,5,4,1,4,0,0,-1,39.5,1,1.0,0.8,0.0,0
116,Stochastic,B,0,0,0,0.12,11,12,2,0,2,0,0,0,9,-1.0,1,1.0,0.0,0.0,1
117,Clean,B,0,0,0,0.005,10,5,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
118,Dirty,B,1,0,0,0.03,13,12,2,1,1,1,0,0,10,9.5,1,1.0,0.5,0.0,1
119,Clean,A,0,0,0,0.005,20,6,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
120,Dirty,A,1,1,0,0.03,17,4,3,2,1,2,0,0,12,19.5,1,1.0,0.6667,0.0,1
121,Stochastic,A,0,0,0,0.12,17,12,2,0,2,0,0,0,15,-1.0,1,1.0,0.0,0.0,1
122,Clean,B,0,0,0,0.005,10,4,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
123,Dirty,A,1,1,0,0.03,20,6,3,2,1,2,0,0,15,19.5,1,1.0,0.6667,0.0,1
124,Stochastic,A,1,1,0,0.12,20,11,3,2,1,2,0,0,15,19.5,1,1.0,0.6667,0.0,1
125,Stochastic,B,1,1,0,0.12,9,11,3,2,1,2,0,0,4,19.5,1,1.0,0.6667,0.0,1
126,Stochastic,B,0,0,1,0.12,13,4,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
127,Dirty,B,0,1,0,0.03,16,9,2,1,1,1,0,0,13,9.5,1,1.0,0.5,0.0,1
128,Clean,A,0,0,0,0.005,20,12,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
129,Stochastic,A,1,0,0,0.12,8,11,2,1,1,1,0,0,5,9.5,1,1.0,0.5,0.0,1
130,Stochastic,B,0,0,0,0.12,14,12,3,1,2,1,0,0,10,9.0,1,1.0,0.3333,0.0,1
131,Stochastic,A,1,0,0,0.12,10,10,2,1,1,1,0,0,7,9.5,1,1.0,0.5,0.0,1
132,Clean,A,1,0,0,0.005,19,12,2,1,1,1,0,0,16,9.5,1,1.0,0.5,0.0,1
133,Clean,B,0,0,0,0.005,9,12,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
134,Clean,A,0,1,0,0.005,8,6,2,1,1,1,0,0,5,9.5,1,1.0,0.5,0.0,1
135,Stochastic,A,1,0,0,0.12,13,7,2,1,1,1,0,0,10,9.5,1,1.0,0.5,0.0,1
136,Clean,B,0,0,0,0.005,16,6,2,0,2,0,0,0,14,-1.0,1,1.0,0.0,0.0,1
137,Dirty,B,1,1,0,0.03,11,10,3,2,1,2,0,0,6,19.5,1,1.0,0.6667,0.0,1
138,Stochastic,B,0,1,0,0.12,9,11,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
139,Dirty,A,1,1,0,0.03,20,5,3,2,1,2,0,0,15,19.5,1,1.0,0.6667,0.0,1
140,Stochastic,A,1,1,0,0.12,16,7,3,2,1,2,0,0,11,19.5,1,1.0,0.6667,0.0,1
141,Clean,B,0,0,0,0.005,15,9,2,0,2,0,0,0,13,-1.0,1,1.0,0.0,0.0,1
142,Clean,A,0,0,0,0.005,17,7,2,0,2,0,0,0,15,-1.0,1,1.0,0.0,0.0,1
143,Dirty,B,1,1,0,0.03,18,11,3,2,1,2,0,0,13,19.5,1,1.0,0.6667,0.0,1
144,Stochastic,B,0,1,0,0.12,20,6,4,2,2,2,0,0,14,19.0,1,1.0,0.5,0.0,1
145,Dirty,B,0,1,0,0.03,10,10,2,1,1,1,0,0,7,9.5,1,1.0,0.5,0.0,1
146,Stochastic,A,0,0,0,0.12,14,9,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
147,Stochastic,A,0,0,0,0.12,11,6,2,0,2,0,0,0,9,-1.0,1,1.0,0.0,0.0,1
148,Clean,B,0,0,0,0.005,9,12,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
149,Clean,A,0,0,0,0.005,8,6,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
150,Dirty,A,1,0,0,0.03,20,7,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
151,Stochastic,A,0,0,0,0.12,14,6,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
152,Stochastic,B,1,1,0,0.12,17,7,3,2,1,2,0,0,12,19.5,1,1.0,0.6667,0.0,1
153,Dirty,B,1,1,0,0.03,12,5,3,2,1,2,0,0,7,19.5,1,1.0,0.6667,0.0,1
154,Stochastic,B,1,0,0,0.12,19,4,2,1,1,1,0,0,16,9.5,1,1.0,0.5,0.0,1
155,Dirty,A,1,1,0,0.03,15,10,3,2,1,2,0,0,10,19.5,1,1.0,0.6667,0.0,1
156,Dirty,A,1,1,0,0.03,14,6,3,2,1,2,0,0,9,19.5,1,1.0,0.6667,0.0,1
157,Stochastic,A,0,1,0,0.12,8,4,4,2,2,2,0,0,2,19.0,1,1.0,0.5,0.0,1
158,Dirty,B,1,0,0,0.03,13,11,2,1,1,1,0,0,10,9.5,1,1.0,0.5,0.0,1
159,Dirty,A,1,1,0,0.03,9,11,3,2,1,2,0,0,4,19.5,1,1.0,0.6667,0.0,1
160,Clean,A,0,0,0,0.005,9,6,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
161,Stochastic,B,1,1,0,0.12,17,5,3,2,1,2,0,0,12,19.5,1,1.0,0.6667,0.0,1
162,Clean,A,0,0,0,0.005,12,6,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
163,Clean,A,0,0,0,0.005,12,5,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
164,Stochastic,B,1,0,0,0.12,20,12,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
165,Dirty,A,1,1,0,0.03,11,11,3,2,1,2,0,0,6,19.5,1,1.0,0.6667,0.0,1
166,Clean,B,0,0,0,0.005,20,5,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
167,Clean,B,0,0,0,0.005,16,9,2,0,2,0,0,0,14,-1.0,1,1.0,0.0,0.0,1
168,Stochastic,A,1,1,0,0.12,20,4,3,2,1,2,0,0,15,19.5,1,1.0,0.6667,0.0,1
169,Clean,B,0,0,0,0.005,9,9,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
170,Dirty,B,0,1,0,0.03,11,9,2,1,1,1,0,0,8,9.5,1,1.0,0.5,0.0,1
171,Dirty,B,1,1,0,0.03,18,4,4,3,1,3,0,0,11,29.5,1,1.0,0.75,0.0,1
172,Clean,B,0,0,0,0.005,9,12,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
173,Stochastic,A,1,0,0,0.12,14,7,4,2,2,2,0,0,8,19.0,1,1.0,0.5,0.0,1
174,Dirty,A,1,0,0,0.03,18,12,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
175,Stochastic,A,0,0,0,0.12,17,10,2,0,2,0,0,0,15,-1.0,1,1.0,0.0,0.0,1
176,Clean,B,0,0,0,0.005,16,5,2,0,2,0,0,0,14,-1.0,1,1.0,0.0,0.0,1
177,Clean,B,0,0,0,0.005,18,7,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
178,Dirty,B,0,1,0,0.03,19,9,2,1,1,1,0,0,16,9.5,1,1.0,0.5,0.0,1
179,Clean,B,0,0,0,0.005,14,9,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
180,Stochastic,B,1,1,0,0.12,19,10,3,2,1,2,0,0,14,19.5,1,1.0,0.6667,0.0,1
181,Clean,B,0,0,0,0.005,8,10,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
182,Stochastic,A,0,1,1,0.12,18,6,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
183,Clean,B,0,0,0,0.005,9,7,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
184,Stochastic,A,0,0,0,0.12,18,7,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
185,Clean,B,0,0,0,0.005,8,5,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
186,Clean,B,0,0,0,0.005,17,10,2,0,2,0,0,0,15,-1.0,1,1.0,0.0,0.0,1
187,Dirty,B,1,1,0,0.03,8,6,3,2,1,2,0,0,3,19.5,1,1.0,0.6667,0.0,1
188,Clean,A,0,0,0,0.005,10,5,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
189,Dirty,A,1,1,0,0.03,17,10,4,3,1,3,0,0,10,29.5,1,1.0,0.75,0.0,1
190,Stochastic,B,1,0,1,0.12,19,12,2,1,1,1,0,0,16,9.5,1,1.0,0.5,0.0,1
191,Stochastic,B,0,1,0,0.12,15,8,2,1,1,1,0,0,12,9.5,1,1.0,0.5,0.0,1
192,Dirty,A,1,1,0,0.03,16,10,3,2,1,2,0,0,11,19.5,1,1.0,0.6667,0.0,1
193,Dirty,A,1,1,0,0.03,9,10,3,2,1,2,0,0,4,19.5,1,1.0,0.6667,0.0,1
194,Stochastic,A,1,0,0,0.12,9,4,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
195,Dirty,A,1,1,0,0.03,18,10,3,2,1,2,0,0,13,19.5,1,1.0,0.6667,0.0,1
196,Dirty,A,1,1,0,0.03,13,4,3,2,1,2,0,0,8,19.5,1,1.0,0.6667,0.0,1
197,Stochastic,A,1,1,0,0.12,9,8,5,3,2,3,0,0,1,29.0,1,1.0,0.6,0.0,1
198,Dirty,A,1,1,0,0.03,8,9,3,2,1,2,0,0,3,19.5,1,1.0,0.6667,0.0,1
199,Clean,A,0,0,0,0.005,10,11,2,0,2,0,0,0,8,-1.0,1,1.0,0.0,0.0,1
200,Clean,A,0,0,0,0.005,13,7,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
201,Stochastic,A,0,1,0,0.12,17,7,2,1,1,1,0,0,14,9.5,1,1.0,0.5,0.0,1
202,Clean,B,1,0,0,0.005,8,5,2,1,1,1,0,0,5,9.5,1,1.0,0.5,0.0,1
203,Stochastic,A,0,1,0,0.12,18,5,2,1,1,1,0,0,15,9.5,1,1.0,0.5,0.0,1
204,Stochastic,B,0,1,1,0.12,13,6,3,1,2,1,0,0,9,9.0,1,1.0,0.3333,0.0,1
205,Stochastic,B,0,0,0,0.12,18,9,2,0,2,0,0,0,16,-1.0,1,1.0,0.0,0.0,1
206,Stochastic,A,0,1,1,0.12,12,12,8,1,3,5,4,0,-1,0.5,1,1.0,0.125,0.8,0
207,Clean,A,0,0,0,0.005,13,4,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
208,Dirty,A,1,1,0,0.03,13,11,3,2,1,2,0,0,8,19.5,1,1.0,0.6667,0.0,1
209,Dirty,A,1,1,0,0.03,10,9,3,2,1,2,0,0,5,19.5,1,1.0,0.6667,0.0,1
210,Clean,B,0,0,0,0.005,17,9,2,0,2,0,0,0,15,-1.0,1,1.0,0.0,0.0,1
211,Clean,B,0,0,0,0.005,14,5,2,0,2,0,0,0,12,-1.0,1,1.0,0.0,0.0,1
212,Dirty,A,1,1,0,0.03,15,8,4,3,1,3,0,0,8,29.5,1,1.0,0.75,0.0,1
213,Clean,A,0,0,0,0.005,9,7,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
214,Stochastic,A,1,0,0,0.12,9,4,2,1,1,1,0,0,6,9.5,1,1.0,0.5,0.0,1
215,Stochastic,A,1,0,0,0.12,17,4,2,1,1,1,0,0,14,9.5,1,1.0,0.5,0.0,1
216,Clean,B,0,0,0,0.005,13,4,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
217,Clean,B,0,0,0,0.005,16,8,2,0,2,0,0,0,14,-1.0,1,1.0,0.0,0.0,1
218,Stochastic,B,0,0,0,0.12,20,5,4,1,3,1,0,0,15,8.5,1,1.0,0.25,0.0,1
219,Stochastic,B,0,0,0,0.12,9,8,2,0,2,0,0,0,7,-1.0,1,1.0,0.0,0.0,1
220,Clean,B,0,0,0,0.005,13,11,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
221,Stochastic,A,1,1,0,0.12,8,11,3,2,1,2,0,0,3,19.5,1,1.0,0.6667,0.0,1
222,Stochastic,A,1,1,0,0.12,18,7,3,2,1,2,0,0,13,19.5,1,1.0,0.6667,0.0,1
223,Clean,A,0,0,0,0.005,8,8,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
224,Clean,B,0,0,0,0.005,13,12,2,0,2,0,0,0,11,-1.0,1,1.0,0.0,0.0,1
225,Dirty,B,1,1,0,0.03,12,10,3,2,1,2,0,0,7,19.5,1,1.0,0.6667,0.0,1
226,Stochastic,A,1,0,0,0.12,14,12,2,1,1,1,0,0,11,9.5,1,1.0,0.5,0.0,1
227,Stochastic,B,1,1,0,0.12,10,11,3,2,1,2,0,0,5,19.5,1,1.0,0.6667,0.0,1
228,Clean,B,0,0,0,0.005,20,10,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
229,Stochastic,B,1,0,0,0.12,14,7,2,1,1,1,0,0,11,9.5,1,1.0,0.5,0.0,1
230,Dirty,B,1,1,0,0.03,17,10,3,2,1,2,0,0,12,19.5,1,1.0,0.6667,0.0,1
231,Clean,A,0,0,0,0.005,12,7,2,0,2,0,0,0,10,-1.0,1,1.0,0.0,0.0,1
232,Stochastic,B,1,1,0,0.12,9,7,4,3,1,3,0,0,2,29.5,1,1.0,0.75,0.0,1
233,Dirty,B,1,1,0,0.03,13,12,3,2,1,2,0,0,8,19.5,1,1.0,0.6667,0.0,1
234,Clean,A,0,0,0,0.005,19,7,2,0,2,0,0,0,17,-1.0,1,1.0,0.0,0.0,1
235,Clean,B,0,0,0,0.005,8,10,2,0,2,0,0,0,6,-1.0,1,1.0,0.0,0.0,1
236,Clean,B,0,0,0,0.005,20,8,2,0,2,0,0,0,18,-1.0,1,1.0,0.0,0.0,1
237,Stochastic,A,1,0,0,0.12,20,12,2,1,1,1,0,0,17,9.5,1,1.0,0.5,0.0,1
