episode_id,application,agent_architecture,environment,expected_action,sensor_confidence,risk_level,environment_volatility,partial_observability,energy_or_resource_level,response_time_ms,available_actions,prior_success_rate,random_noise,rational_action,utility_score,observability_label,dynamic_label,determinism_label
17,Smart-Home Energy Agent,Goal-Based,Rainy,Use Umbrella,,0.8186,0.207,0.56,76.84,27.64,13,0.4856,1.3912,0,78.56,Partially Observable,Dynamic,Deterministic
18,Smart Hospital Assistant,Utility-Based,Stormy,Stay Inside,0.8274,0.3167,0.5302,0.7403,91.77,217.46,9,0.99,1.5667,0,51.42,Partially Observable,Dynamic,Stochastic
19,Warehouse Robot,Learning,Snowy,Wear Winter Gear,0.813,0.412,0.2688,0.9082,,333.34,9,0.8708,-0.6973,0,57.37,Partially Observable,Static,Stochastic
20,Autonomous Vehicle,Goal-Based,Snowy,Wear Winter Gear,0.8683,0.2835,0.4556,0.5186,67.8,,14,0.611,-0.1258,1,84.41,Fully Observable,Dynamic,Deterministic
21,Autonomous Delivery Robot,Utility-Based,Stormy,Stay Inside,1,0.0522,0.1081,0.3665,62.68,105.23,11,0.8483,0.185,1,100,Fully Observable,Static,Deterministic
22,Intelligent Tutoring System,Model-Based,Sunny,Go Outside,0.8797,0.2077,0.2024,0.1992,52.24,116.34,5,0.5611,0.5684,1,62.86,Partially Observable,Dynamic,Stochastic
23,Smart Hospital Assistant,Goal-Based,Cloudy,Stay Inside,0.7509,0.4092,0.2211,0.2337,28.81,93.78,4,0.4499,1.0698,0,85.44,Fully Observable,Static,Stochastic
24,Warehouse Robot,Utility-Based,Cloudy,Stay Inside,0.549,0.7039,0.0854,0.0294,45.65,195.48,9,0.5494,-1.1977,0,86.68,Fully Observable,Static,Deterministic
25,Cybersecurity Monitoring Agent,Model-Based,Sunny,Go Outside,0.7898,0.2257,0.5835,0.2754,69.29,183.9,8,0.99,-0.9422,1,100,Partially Observable,Static,Stochastic
26,AI Travel Assistant,Goal-Based,Snowy,Wear Winter Gear,0.8486,0.2847,0.3397,0.495,79.27,83.84,4,0.6961,0.0081,0,70.39,Partially Observable,Static,Deterministic
27,Warehouse Robot,Learning,Rainy,Use Umbrella,1,0.2933,0.2716,0.5246,87.01,161.29,12,0.6612,3.0357,1,77.09,Partially Observable,Static,Stochastic
28,Autonomous Delivery Robot,Simple Reflex,Sunny,Go Outside,0.712,0.4407,0.5534,0.7834,85.15,288.35,6,0.5104,0.3726,0,46.6,Partially Observable,Dynamic,Stochastic
29,Smart-Home Energy Agent,Goal-Based,Cloudy,Stay Inside,0.8771,0.3453,0.2014,0.1599,89.78,173.66,11,0.99,0.2254,1,99.75,Fully Observable,Static,Deterministic
30,Smart-Home Energy Agent,Learning,Sunny,Go Outside,0.9248,0.6587,0.6845,0.8132,37.79,228.56,13,0.9383,-1.3134,0,54.05,Partially Observable,Dynamic,Deterministic
31,Warehouse Robot,Simple Reflex,Snowy,Wear Winter Gear,0.9221,0.582,0.3127,0.4485,84.77,170.58,3,0.5193,1.544,1,84.08,Partially Observable,Dynamic,Stochastic
32,Cybersecurity Monitoring Agent,Learning,Stormy,Stay Inside,0.9717,0.1734,0.0916,0.5969,98.54,331.31,9,0.8327,0.3761,1,65.4,Fully Observable,Static,Deterministic
33,Intelligent Tutoring System,Learning,Rainy,Use Umbrella,0.8079,0.2892,0.5451,0.4781,81.45,166.9,10,0.7336,0.2457,1,94.55,Fully Observable,Static,Stochastic
34,Warehouse Robot,Goal-Based,Sunny,Go Outside,0.5801,0.6338,0.5174,0.4994,96.0,291.71,12,0.5803,-1.3907,0,45.06,Partially Observable,Dynamic,Stochastic
35,Smart Hospital Assistant,Model-Based,Cloudy,Stay Inside,0.7809,0.414,0.1011,0.4552,56.16,270.48,12,0.8438,0.9777,0,78.33,Fully Observable,Static,Stochastic
36,Intelligent Tutoring System,Learning,Cloudy,Stay Inside,0.8203,0.3955,0.7523,0.3591,100,216.97,11,0.7066,-0.3172,0,52.3,Partially Observable,Dynamic,Deterministic
37,Autonomous Vehicle,Model-Based,Cloudy,Stay Inside,0.8661,0.1517,0.4771,0.3413,47.75,196.35,8,0.6977,0.3341,1,89.31,Fully Observable,Static,Stochastic
38,Warehouse Robot,Model-Based,Windy,Use Wind Protection,1,0.3759,0.2169,0.5221,49.59,282.71,6,0.7646,0.1359,0,88.72,Fully Observable,Dynamic,Deterministic
39,Intelligent Tutoring System,Goal-Based,Windy,Use Wind Protection,0.7209,0.3452,0.3684,0.2372,69.14,214.36,5,0.8297,0.2663,1,89.91,Partially Observable,Dynamic,Stochastic
40,Cybersecurity Monitoring Agent,Goal-Based,Windy,Use Wind Protection,0.7926,0.4481,0.388,0.6304,48.5,236.56,14,0.7368,-0.2887,1,71.99,Fully Observable,Dynamic,Deterministic
41,Autonomous Vehicle,Learning,Sunny,Go Outside,0.7662,0.2686,0.2518,0.2482,71.67,246.71,12,0.7687,-0.5765,1,100,Fully Observable,Dynamic,Stochastic
42,Warehouse Robot,Model-Based,Stormy,Stay Inside,0.5911,0.202,0.5016,0.592,77.6,266.59,14,0.6257,0.0618,0,67.73,Fully Observable,Dynamic,Deterministic
43,Warehouse Robot,Model-Based,Rainy,Use Umbrella,0.9408,0.2833,0.2511,0.3189,43.54,253.93,11,0.6082,1.1076,1,82.89,Fully Observable,Dynamic,Deterministic
44,AI Travel Assistant,Learning,Snowy,Wear Winter Gear,0.9554,0.6333,0.1737,0.7291,58.81,273.28,3,0.713,0.1692,1,86.26,Partially Observable,Dynamic,Deterministic
45,AI Travel Assistant,Goal-Based,Sunny,Go Outside,0.8595,0.2544,0.3259,0.3402,69.92,86.0,11,0.6892,0.0282,1,86.05,Fully Observable,Dynamic,Deterministic
46,Autonomous Delivery Robot,Goal-Based,Windy,Use Wind Protection,0.9113,0.1198,0.3967,0.2712,49.67,77.49,12,0.4994,0.3399,1,65.58,Partially Observable,Static,Deterministic
47,Intelligent Tutoring System,Learning,Cloudy,Stay Inside,0.972,0.3806,0.6022,0.2833,62.7,26.22,9,0.99,-0.3407,1,88.14,Fully Observable,Dynamic,Stochastic
48,Smart Hospital Assistant,Simple Reflex,Stormy,Stay Inside,0.7496,0.2051,0.2593,0.449,98.52,257.34,8,0.5521,1.3606,0,41.49,Fully Observable,Static,Deterministic
49,Intelligent Tutoring System,Learning,Cloudy,Stay Inside,0.6501,0.0913,0.5114,0.522,100,248.57,14,0.6986,-0.0702,1,100,Fully Observable,Dynamic,Deterministic
50,AI Travel Assistant,Learning,Stormy,Stay Inside,0.8378,0.4564,0.2052,0.3999,75.65,146.14,9,0.9406,0.2089,1,91.07,Partially Observable,Dynamic,Stochastic
51,Warehouse Robot,Learning,Snowy,Wear Winter Gear,1,0.3852,0.5744,0.3934,94.75,189.04,10,0.5973,1.5277,0,74.47,Fully Observable,Static,Deterministic
52,Cybersecurity Monitoring Agent,Utility-Based,Stormy,Stay Inside,1,0.2362,0.076,0.2241,44.2,249.56,4,0.569,0.4263,1,100,Partially Observable,Dynamic,Deterministic
53,Autonomous Vehicle,Goal-Based,Sunny,Go Outside,0.7834,0.4706,0.4082,0.24,91.32,218.7,10,0.5527,-2.011,1,79.6,Partially Observable,Static,Deterministic
54,Smart-Home Energy Agent,Goal-Based,Stormy,Stay Inside,0.8409,0.6672,0.2805,0.3672,84.1,98.07,11,0.99,1.8454,0,78.39,Fully Observable,Dynamic,Deterministic
55,Autonomous Delivery Robot,Simple Reflex,Stormy,Stay Inside,0.7722,0.3534,0.5086,0.5515,90.66,244.63,12,0.5995,0.8015,0,60.51,Partially Observable,Static,Deterministic
56,AI Travel Assistant,Model-Based,Stormy,Stay Inside,1,0.5628,0.183,0.4642,45.88,208.59,9,0.9221,-1.1695,1,91.6,Partially Observable,Dynamic,Deterministic
57,AI Travel Assistant,Learning,Cloudy,Stay Inside,0.6674,0.496,0.4474,0.66,63.82,171.75,9,0.5675,-1.3551,1,83.18,Partially Observable,Dynamic,Deterministic
58,Smart-Home Energy Agent,Simple Reflex,Stormy,Stay Inside,0.748,0.1069,0.2958,0.2413,100,,5,0.706,-0.2503,0,77.35,Fully Observable,Dynamic,Stochastic
59,AI Travel Assistant,Utility-Based,Cloudy,Stay Inside,0.7652,0.3288,0.7187,0.5085,96.69,326.4,3,0.7521,0.8136,0,53.99,Partially Observable,Dynamic,Deterministic
60,Smart Hospital Assistant,Goal-Based,Stormy,Stay Inside,0.8886,0.5096,0.4333,0.5025,96.17,279.4,4,0.9211,-0.1308,1,81.15,Partially Observable,Dynamic,Deterministic
61,Smart-Home Energy Agent,Utility-Based,Stormy,Stay Inside,0.8553,0.2924,0.5654,0.3157,100,296.84,13,0.7292,-1.0747,1,70.02,Fully Observable,Dynamic,Stochastic
62,Smart Hospital Assistant,Learning,Sunny,Go Outside,0.7986,0.118,0.1795,0.5426,,117.72,10,0.5623,0.6529,0,71.69,Fully Observable,Static,Deterministic
63,Autonomous Delivery Robot,Goal-Based,Stormy,Stay Inside,1,0.2351,0.277,0.3238,95.75,162.6,4,0.6184,0.9983,1,100,Partially Observable,Dynamic,Stochastic
64,Intelligent Tutoring System,Model-Based,Cloudy,Stay Inside,1,0.0964,0.0708,0.1977,81.89,161.49,2,0.6444,0.4211,1,100,Partially Observable,Dynamic,Deterministic
65,Smart-Home Energy Agent,Learning,Stormy,Stay Inside,0.7171,0.2355,0.1863,0.4286,69.39,179.48,6,0.5853,-1.1958,1,81.98,Fully Observable,Dynamic,Stochastic
66,Cybersecurity Monitoring Agent,Goal-Based,Cloudy,Stay Inside,0.8787,0.0935,0.2276,0.4159,51.76,172.84,7,0.6251,2.0683,1,99.62,Fully Observable,Static,Stochastic
67,Intelligent Tutoring System,Utility-Based,Cloudy,Stay Inside,0.7315,0.3044,0.1546,0.5514,87.99,195.78,11,0.99,-0.1567,1,82.94,Partially Observable,Dynamic,Stochastic
68,AI Travel Assistant,Goal-Based,Stormy,Stay Inside,0.9219,0.4514,0.0561,0.4048,55.76,140.88,9,0.9363,0.1216,1,93.63,Partially Observable,Static,Deterministic
69,Smart Hospital Assistant,Goal-Based,Rainy,Use Umbrella,0.8924,0.3641,0.4073,0.5686,93.7,65.75,11,0.8531,2.6721,1,97.99,Partially Observable,Dynamic,Deterministic
70,Smart Hospital Assistant,Utility-Based,Cloudy,Stay Inside,0.6748,0.1142,0.3297,0.2869,40.95,332.97,7,0.5443,1.094,1,70.47,Fully Observable,Dynamic,Deterministic
71,Smart Hospital Assistant,Goal-Based,Snowy,Wear Winter Gear,0.9558,0.2664,0.6863,0.8299,66.65,179.57,13,0.5197,-0.7274,0,89.34,Fully Observable,Static,Stochastic
72,AI Travel Assistant,Utility-Based,Snowy,Wear Winter Gear,0.9962,0.3918,0.4628,0.198,96.52,193.97,4,0.7014,-0.5598,1,100,Partially Observable,Dynamic,Deterministic
73,Autonomous Vehicle,Model-Based,Rainy,Use Umbrella,0.8145,0.4899,0.3277,0.6028,50.14,99.42,9,0.591,-1.0143,1,99.97,Fully Observable,Dynamic,Stochastic
74,Smart-Home Energy Agent,Learning,Windy,Use Wind Protection,0.8206,0.4464,0.5068,0.8411,79.93,80.79,4,0.6603,-0.5532,0,45.17,Partially Observable,Dynamic,Stochastic
75,Autonomous Delivery Robot,Learning,Cloudy,Stay Inside,0.7743,0.6459,0.4124,0.7514,38.84,207.73,13,0.5356,-0.9673,0,35.31,Fully Observable,Dynamic,Deterministic
76,Smart-Home Energy Agent,Goal-Based,Sunny,Go Outside,0.9705,0.2955,0.3504,0.5082,75.47,168.64,7,0.5961,-1.2051,1,100,Partially Observable,Dynamic,Deterministic
77,Warehouse Robot,Utility-Based,Rainy,Use Umbrella,0.7589,0.1349,0.4339,0.3512,56.39,142.27,9,0.7729,-1.4061,1,75.15,Fully Observable,Dynamic,Deterministic
78,Cybersecurity Monitoring Agent,Model-Based,Rainy,Use Umbrella,0.7456,0.2175,0.3679,0.4571,51.26,174.69,4,0.8583,1.7729,0,50.38,Partially Observable,Dynamic,Stochastic
79,AI Travel Assistant,Goal-Based,Windy,Use Wind Protection,0.7903,0.115,0.4017,0.791,72.56,236.33,7,0.4458,-1.6232,0,64.67,Fully Observable,Dynamic,Deterministic
80,AI Travel Assistant,Model-Based,Sunny,Go Outside,0.7108,0.2435,0.6183,0.7119,73.78,240.34,7,0.5288,-0.2715,0,94.54,Fully Observable,Static,Stochastic
81,Autonomous Delivery Robot,Learning,Stormy,Stay Inside,1,0.1479,0.4332,0.3542,99.26,300.35,6,0.8464,-0.6975,1,72.72,Fully Observable,Dynamic,Stochastic
82,Smart Hospital Assistant,Learning,Windy,Use Wind Protection,0.879,0.3428,0.4126,0.2296,84.83,134.27,2,0.9088,-0.0542,1,100,Partially Observable,Static,Stochastic
83,Smart-Home Energy Agent,Simple Reflex,Stormy,Stay Inside,0.8994,0.2558,0.6302,0.7451,65.5,101.81,3,0.9138,0.763,0,69.22,Fully Observable,Static,Deterministic
84,Cybersecurity Monitoring Agent,Goal-Based,Stormy,Stay Inside,0.9523,0.2467,0.2022,0.4831,62.15,419.17,2,0.8753,-1.1971,1,96.75,Fully Observable,Static,Stochastic
85,Warehouse Robot,Simple Reflex,Windy,Use Wind Protection,0.8102,0.3522,0.4725,0.6391,66.44,296.0,6,0.6889,-0.8149,0,35.73,Partially Observable,Static,Stochastic
86,Smart Hospital Assistant,Goal-Based,Rainy,Use Umbrella,0.9346,0.2023,0.4677,0.2755,57.99,96.06,4,0.9236,1.0699,1,90.13,Partially Observable,Static,Stochastic
87,Cybersecurity Monitoring Agent,Utility-Based,Cloudy,Stay Inside,0.8336,0.447,0.4303,0.1217,62.53,320.73,2,0.9143,1.9178,1,95.06,Fully Observable,Dynamic,Deterministic
88,Autonomous Vehicle,Model-Based,Stormy,Stay Inside,0.9755,0.2644,0.4895,0.5623,89.97,261.35,7,0.8029,1.2268,1,90.77,Fully Observable,Static,Deterministic
89,Autonomous Delivery Robot,Learning,Sunny,Go Outside,0.8518,0.5431,0.3848,0.1542,89.42,247.43,3,0.7293,-1.4232,1,79.19,Partially Observable,Dynamic,Stochastic
90,Warehouse Robot,Utility-Based,Stormy,Stay Inside,0.939,0.4028,0.325,0.6467,74.66,112.11,9,0.7324,0.5032,1,100,Partially Observable,Static,Deterministic
91,Intelligent Tutoring System,Learning,Windy,Use Wind Protection,0.6602,0.5896,0.4446,0.044,69.59,121.55,11,0.5719,-1.9144,0,91.61,Fully Observable,Dynamic,Deterministic
92,Autonomous Delivery Robot,Learning,Sunny,Go Outside,1,0.1181,0.138,0.2434,66.52,299.05,10,0.672,0.0563,1,100,Fully Observable,Dynamic,Stochastic
93,AI Travel Assistant,Utility-Based,Windy,Use Wind Protection,0.7537,0.6467,0.1112,0.4036,92.38,246.53,5,0.8418,-0.1908,1,100,Partially Observable,Dynamic,Deterministic
94,Cybersecurity Monitoring Agent,Model-Based,Cloudy,Stay Inside,0.8198,0.4905,0.5402,0.6103,76.52,317.94,2,0.6315,1.202,0,56.08,Fully Observable,Static,Deterministic
95,Cybersecurity Monitoring Agent,Learning,Snowy,Wear Winter Gear,1,0.3555,0.4137,0.5524,34.9,345.76,11,0.692,0.1637,0,66.67,Fully Observable,Dynamic,Deterministic
96,Cybersecurity Monitoring Agent,Utility-Based,Snowy,Wear Winter Gear,0.8005,0.1635,0.5825,0.2167,100,173.92,9,0.8496,-0.6292,1,92.88,Fully Observable,Static,Stochastic
97,Smart Hospital Assistant,Learning,Sunny,Go Outside,0.8107,0.1437,0.4223,0.3485,87.99,184.54,6,0.4851,-0.4475,1,89.18,Fully Observable,Dynamic,Deterministic
98,Smart-Home Energy Agent,Learning,Stormy,Stay Inside,0.908,0.778,0.2962,0.5181,85.72,153.05,9,0.9055,0.2978,1,95.1,Fully Observable,Static,Stochastic
99,Warehouse Robot,Learning,Snowy,Wear Winter Gear,0.846,0.4378,0.6262,0.608,78.67,245.06,12,0.7571,-3.1568,1,74.56,Fully Observable,Static,Stochastic
100,Warehouse Robot,Utility-Based,Cloudy,Stay Inside,0.6769,0.7992,0.6105,0.7124,80.51,33.6,7,0.8302,-0.5437,0,34.39,Partially Observable,Static,Stochastic
101,Autonomous Vehicle,Utility-Based,Sunny,Go Outside,0.8328,0.2054,0.4603,0.5188,29.22,256.74,4,0.5663,1.4407,1,67.45,Fully Observable,Static,Deterministic
102,Autonomous Delivery Robot,Goal-Based,Cloudy,Stay Inside,0.9592,0.3463,0.7503,0.3007,65.34,253.56,6,0.7384,-1.528,1,85.66,Fully Observable,Static,Deterministic
103,Smart-Home Energy Agent,Utility-Based,Snowy,Wear Winter Gear,1,0.3213,0.4921,0.2578,76.16,176.62,10,0.7848,2.606,1,100,Partially Observable,Static,Stochastic
104,Smart-Home Energy Agent,Utility-Based,Cloudy,Stay Inside,0.7096,0.4151,0.5244,0.4317,86.72,208.89,8,0.5242,0.9217,0,22.84,Partially Observable,Dynamic,Stochastic
105,Cybersecurity Monitoring Agent,Learning,Snowy,Wear Winter Gear,0.8628,0.1041,0.2513,0.4709,79.82,175.81,6,0.8484,-0.4877,1,100,Fully Observable,Static,Stochastic
106,Smart-Home Energy Agent,Goal-Based,Rainy,Use Umbrella,0.8963,0.2048,0.1893,0.6278,87.81,343.47,9,0.8011,-1.6971,1,100,Fully Observable,Static,Deterministic
107,Autonomous Vehicle,Learning,Cloudy,Stay Inside,0.8464,0.728,0.5479,0.4222,48.64,191.34,9,0.6609,-0.4095,0,88.93,Fully Observable,Static,Deterministic
108,Cybersecurity Monitoring Agent,Model-Based,Stormy,Stay Inside,0.754,0.3239,0.3161,0.6471,64.12,149.13,11,0.6892,-0.9923,1,74.88,Partially Observable,Static,Deterministic
109,Smart-Home Energy Agent,Learning,Rainy,Use Umbrella,0.7627,0.0855,0.5557,0.3488,87.19,148.74,6,0.6008,-0.0284,1,99.6,Partially Observable,Static,Deterministic
110,Autonomous Delivery Robot,Simple Reflex,Rainy,Use Umbrella,0.6147,0.5351,0.6479,0.3268,80.48,86.14,14,0.7826,0.462,0,25.15,Partially Observable,Dynamic,Deterministic
111,Warehouse Robot,Learning,Snowy,Wear Winter Gear,1,0.7731,0.3813,0.288,77.2,107.08,12,0.6444,0.8456,0,68.96,Partially Observable,Static,Deterministic
112,Autonomous Delivery Robot,Utility-Based,Rainy,Use Umbrella,0.6858,0.3864,0.5811,0.5133,90.12,256.36,11,0.4413,0.6314,0,59.02,Partially Observable,Static,Deterministic
113,Smart Hospital Assistant,Learning,Snowy,Wear Winter Gear,0.6763,0.4332,0.4103,0.4999,41.63,171.05,12,0.7613,0.1614,1,90.49,Fully Observable,Static,Stochastic
114,Cybersecurity Monitoring Agent,Learning,Stormy,Stay Inside,0.5683,0.4605,0.2023,0.5335,86.81,289.19,10,0.7224,-1.2647,0,62.04,Fully Observable,Static,Deterministic
115,Warehouse Robot,Utility-Based,Snowy,Wear Winter Gear,0.9452,0.1498,0.414,0.6508,56.88,300.99,10,0.5462,-0.4505,0,68.94,Fully Observable,Dynamic,Deterministic
116,Autonomous Vehicle,Utility-Based,Snowy,Wear Winter Gear,0.7701,0.454,0.586,0.3898,80.29,272.69,6,0.7747,0.2847,0,69.03,Fully Observable,Dynamic,Deterministic
117,Smart-Home Energy Agent,Utility-Based,Sunny,Go Outside,0.9464,0.2448,0.3959,0.5096,63.62,248.0,6,0.3325,-2.7173,1,100,Partially Observable,Dynamic,Deterministic
118,Cybersecurity Monitoring Agent,Utility-Based,Cloudy,Stay Inside,0.9787,0.0202,0.7616,0.458,84.82,304.87,8,0.8348,0.3862,1,100,Partially Observable,Static,Deterministic
119,Autonomous Vehicle,Goal-Based,Stormy,Stay Inside,0.7137,0.2753,0.7142,0.4215,54.66,321.69,10,0.99,-1.3738,0,69.94,Fully Observable,Dynamic,Deterministic
120,Cybersecurity Monitoring Agent,Simple Reflex,Stormy,Stay Inside,1,0.5777,0.5139,0.4281,61.1,111.33,12,0.7293,-0.3552,0,64.75,Partially Observable,Dynamic,Deterministic
121,Smart-Home Energy Agent,Learning,Windy,Use Wind Protection,0.6761,0.132,0.6303,0.2925,95.94,393.01,4,0.7628,0.0718,1,74.55,Partially Observable,Static,Stochastic
122,Cybersecurity Monitoring Agent,Model-Based,Rainy,Use Umbrella,0.755,0.6532,0.3038,0.741,71.95,269.69,11,0.597,0.0721,0,74.59,Partially Observable,Dynamic,Stochastic
123,Autonomous Vehicle,Utility-Based,Cloudy,Stay Inside,0.816,0.4986,0.5791,0.5571,61.76,226.12,3,0.5574,0.6143,1,86.45,Fully Observable,Static,Deterministic
124,Autonomous Delivery Robot,Learning,Snowy,Wear Winter Gear,0.641,0.3167,0.403,0.6955,52.94,204.08,10,0.858,0.0491,1,93.98,Fully Observable,Static,Deterministic
125,AI Travel Assistant,Learning,Sunny,Go Outside,0.867,0.3314,0.6374,0.3571,93.55,245.77,10,0.6323,-0.8793,1,69.22,Fully Observable,Dynamic,Stochastic
126,Autonomous Vehicle,Goal-Based,Windy,Use Wind Protection,0.9504,0.3172,0.1152,0.6376,46.82,225.81,12,0.7571,-0.1845,1,100,Fully Observable,Static,Deterministic
127,Smart-Home Energy Agent,Learning,Snowy,Wear Winter Gear,0.9967,0.3252,0.2749,0.5017,65.33,264.84,6,0.9537,0.7519,1,100,Fully Observable,Static,Stochastic
128,Cybersecurity Monitoring Agent,Utility-Based,Rainy,Use Umbrella,0.7642,0.6888,0.3748,0.2809,58.34,121.84,7,0.9148,-1.0949,0,61.97,Fully Observable,Dynamic,Deterministic
129,Smart-Home Energy Agent,Goal-Based,Rainy,Use Umbrella,0.8824,0.4264,0.202,0.1979,67.74,96.9,11,0.6936,-0.2416,1,100,Partially Observable,Dynamic,Stochastic
130,Autonomous Vehicle,Learning,Windy,Use Wind Protection,0.7161,0.4543,0.4944,0.3835,68.98,158.67,12,0.8099,0.0145,1,100,Fully Observable,Static,Stochastic
131,Warehouse Robot,Utility-Based,Snowy,Wear Winter Gear,0.7699,0.1974,0.0796,0.4083,100,,4,0.9201,0.6869,1,97.37,Fully Observable,Static,Stochastic
132,Autonomous Vehicle,Goal-Based,Cloudy,Stay Inside,0.9455,0.2509,0.3687,0.3275,75.88,144.23,9,0.9413,-0.2724,1,86.45,Fully Observable,Dynamic,Deterministic
133,Smart-Home Energy Agent,Simple Reflex,Stormy,Stay Inside,0.8604,0.5354,0.4828,0.4764,58.99,243.93,5,0.8651,0.6235,0,69.27,Fully Observable,Dynamic,Deterministic
134,Intelligent Tutoring System,Model-Based,Rainy,Use Umbrella,0.7807,0.1363,0.4392,0.1877,70.13,266.51,14,0.8521,-0.4084,1,100,Fully Observable,Dynamic,Stochastic
135,Cybersecurity Monitoring Agent,Goal-Based,Sunny,Go Outside,0.7974,0.2855,0.3408,0.5125,52.01,183.53,8,0.5929,-0.1166,1,90.14,Fully Observable,Dynamic,Stochastic
136,Intelligent Tutoring System,Model-Based,Stormy,Stay Inside,0.9553,0.307,0.2661,0.5317,100,270.78,9,0.7782,-0.3815,1,82.2,Partially Observable,Static,Stochastic
137,Smart Hospital Assistant,Goal-Based,Stormy,Stay Inside,0.9178,0.5828,0.2993,0.5388,69.09,238.97,12,0.6043,-0.7754,0,67.95,Partially Observable,Dynamic,Stochastic
138,AI Travel Assistant,Learning,Cloudy,Stay Inside,0.8131,0.552,0.1676,0.5404,65.77,215.02,14,0.5228,1.026,1,85.44,Partially Observable,Static,Deterministic
139,Smart-Home Energy Agent,Goal-Based,Rainy,Use Umbrella,0.9955,0.0821,0.408,0.5147,98.65,133.78,10,0.5846,-0.7887,1,94.14,Partially Observable,Dynamic,Deterministic
140,Smart-Home Energy Agent,Simple Reflex,Snowy,Wear Winter Gear,0.7655,0.6495,0.2116,0.8291,51.29,270.78,8,0.7402,1.5843,0,19.63,Partially Observable,Dynamic,Stochastic
141,Warehouse Robot,Model-Based,Sunny,Go Outside,0.8809,0.5599,0.1718,0.246,86.32,271.34,7,0.8915,-1.5394,1,90.27,Fully Observable,Static,Stochastic
142,Warehouse Robot,Simple Reflex,Windy,Use Wind Protection,0.8412,0.2958,0.0367,0.5901,82.28,189.36,13,0.99,0.6167,0,74.84,Fully Observable,Static,Deterministic
143,Warehouse Robot,Goal-Based,Rainy,Use Umbrella,0.8838,0.2588,0.2619,0.8082,47.79,273.35,3,0.9033,0.5119,1,98.57,Fully Observable,Static,Stochastic
144,Autonomous Vehicle,Utility-Based,Cloudy,Stay Inside,0.8157,0.2752,0.1497,0.6265,80.94,272.33,6,0.5699,-0.2844,1,73.47,Partially Observable,Static,Stochastic
